year;C;Yd;W;I
1947;976.4;1035.2;5166.81;-10.3509
1948;998.1;1090;5280.76;-4.7198
1949;1025.3;1095.6;5607.35;1.0441
1950;1090.9;1192.7;5759.52;0.4073
1951;1107.1;1227;6086.06;-5.2831
1952;1142.4;1266.8;6243.86;-0.277
1953;1197.2;1327.5;6355.61;0.5611
1954;1221.9;1344;6797.03;-0.1385
1955;1310.4;1433.8;7172.24;0.262
1956;1348.8;1502.3;7375.18;-0.7361
1957;1381.8;1539.5;7315.29;-0.2607
1958;1393;1553.7;7869.98;-0.5746
1959;1470.7;1623.8;8188.05;2.2959
1960;1510.8;1664.8;8351.76;1.5112
1961;1541.2;1720;8971.87;1.2964
1962;1617.3;1803.5;9091.55;1.3959
1963;1684;1871.5;9436.1;2.0576
1964;1784.8;2006.9;10003.4;2.0266
1965;1897.6;2131;10562.8;2.1117
1966;2006.1;2244.6;10522;2.0203
1967;2066.2;2340.5;11312.1;1.2126
1968;2184.2;2448.2;12145.4;1.055
1969;2264.8;2524.3;11672.2;1.7322
1970;2317.5;2630;11650;1.1662
1971;2405.2;2745.3;12312.9;-0.7122
1972;2550.5;2874.3;13499.9;-0.1557
1973;2675.9;3072.3;13081;1.4138
1974;2653.7;3051.9;11868.8;-1.0426
1975;2710.9;3108.5;12634.4;-3.5336
1976;2868.9;3243.5;13456.8;-0.6568
1977;2992.1;3360.7;13786.3;-1.1904
1978;3124.7;3527.5;14450.5;0.113
1979;3203.2;3628.6;15340;1.7042
1980;3193;3658;15965;2.2985
1981;3236;3741.1;15965;4.7038
1982;3275.5;3791.7;16312.5;4.449
1983;3454.3;3906.9;16944.8;4.691
1984;3640.6;4207.6;17526.8;5.8483
1985;3820.9;4347.8;19068.3;4.3305
1986;3981.2;4486.6;20530;3.768
1987;4113.4;4582.5;21235.7;2.8195
1988;4279.5;4784.1;22332;3.2871
1989;4393.7;4906.5;23659.8;4.31796
1990;4474.5;5014.2;23105.1;3.59503
1991;4466.6;5033;24050.2;1.80276
1992;4594.5;5189.3;24418.2;1.00744
1993;4748.9;5261.3;25092.3;0.62479
1994;4928.1;5397.2;25218.6;2.206
1995;5075.6;5539.1;27439.7;3.33314
1996;5237.5;5677.7;29448.2;3.0832
1997;5423.9;5854.5;32664.1;3.12
1998;5683.7;6168.6;35587;3.58391
1999;5968.4;6320;39591.3;3.24527
2000;6257.8;6539.2;38167.7;3.57597
